x,y
0.00062249,0.00111687
0.00068176,0.00776010
0.00128096,-0.00913176
0.00147968,0.04322020
0.00199285,0.02605584
0.00277053,0.05015284
0.00480913,0.02273009
0.00516693,0.08478326
0.00540015,0.04593095
0.00554256,0.01727346
0.00568967,0.03159902
0.00651580,0.04575187
0.00656773,0.05437547
0.00877735,0.10055478
0.00883472,0.01338583
0.00900844,0.08198648
0.01111174,0.04156975
0.01287317,0.06958434
0.01322000,-0.03944709
0.01446224,-0.01891314
0.01476322,0.13577488
0.01496385,-0.05126085
0.01672355,0.04645738
0.01761941,-0.03319847
0.01896667,0.10902869
0.01989576,0.07659550
0.02120254,0.02593770
0.02140414,0.05715574
0.02143315,0.04411223
0.02179265,0.14079036
0.02212536,0.04182924
0.02284098,0.04718715
0.02371973,0.13975729
0.02537762,0.01088744
0.02538721,0.20375070
0.02593450,0.03552798
0.02606815,0.02631760
0.02725449,0.04488473
0.02736465,0.00113418
0.02776811,0.06817686
0.02787310,0.10111429
0.02876443,0.09170375
0.02934101,0.05309702
0.02978776,0.02675360
0.02983139,0.30137375
0.03183892,0.10862637
0.03189332,0.13241472
0.03261856,0.03223176
0.03479940,0.04298134
0.03552875,-0.02689650
0.03580172,-0.00987296
0.03606549,0.06886220
0.03698140,-0.00940640
0.03707140,-0.01415261
0.03754022,0.13007450
0.03857891,-0.01910153
0.04180602,0.26793018
0.04214017,0.01717980
0.04221118,0.05694551
0.04301130,-0.04019009
0.04307866,0.04769777
0.04327180,0.06081853
0.04339525,0.01686129
0.04436487,0.02151358
0.04489507,0.02790792
0.04625040,0.05623508
0.04637317,0.15331716
0.04811401,0.04886007
0.04818156,0.05258272
0.04830449,0.22121067
0.04847907,-0.03452387
0.04913635,0.02165225
0.04929491,-0.10507354
0.04993701,0.04389923
0.05082066,0.02674499
0.05106218,-0.02512900
0.05217007,0.11865254
0.05256452,0.01503674
0.05301012,0.03139263
0.05357891,0.04904989
0.05389274,0.00987180
0.05413769,0.02704371
0.05420774,-0.00652547
0.05515590,-0.00661495
0.05684882,0.03706277
0.05828315,-0.00303923
