x,rate,inflation
2026-06-01,14.25,6.02
2026-05-01,14.50,5.31
2026-04-01,14.50,5.58
2026-03-01,15.00,5.86
2026-02-01,15.50,5.91
2026-01-01,16.00,6.00
2025-12-01,16.00,5.59
2025-11-01,16.50,6.64
2025-10-01,16.50,7.71
2025-09-01,17.00,7.98
2025-08-01,18.00,8.14
2025-07-01,18.00,8.79
2025-06-01,20.00,9.40
2025-05-01,21.00,9.88
2025-04-01,21.00,10.23
2025-03-01,21.00,10.34
2025-02-01,21.00,10.06
2025-01-01,21.00,9.92
2024-12-01,21.00,9.52
2024-11-01,21.00,8.88
2024-10-01,21.00,8.54
2024-09-01,19.00,8.63
2024-08-01,18.00,9.05
2024-07-01,18.00,9.13
2024-06-01,16.00,8.59
2024-05-01,16.00,8.30
2024-04-01,16.00,7.84
2024-03-01,16.00,7.72
2024-02-01,16.00,7.69
2024-01-01,16.00,7.44
2023-12-01,16.00,7.42
2023-11-01,15.00,7.48
2023-10-01,15.00,6.69
2023-09-01,13.00,6.00
2023-08-01,12.00,5.15
2023-07-01,8.50,4.30
2023-06-01,7.50,3.25
2023-05-01,7.50,2.51
2023-04-01,7.50,2.31
2023-03-01,7.50,3.51
2023-02-01,7.50,10.99
2023-01-01,7.50,11.77
2022-12-01,7.50,11.94
2022-11-01,7.50,11.98
2022-10-01,7.50,12.63
2022-09-01,7.50,13.68
2022-08-01,8.00,14.30
2022-07-01,8.00,15.10
2022-06-01,9.50,15.90
2022-05-01,11.00,17.10
2022-04-01,17.00,17.83
2022-03-01,20.00,16.69
2022-02-01,20.00,9.15
2022-01-01,8.50,8.73
2021-12-01,8.50,8.39
2021-11-01,7.50,8.40
2021-10-01,7.50,8.13
2021-09-01,6.75,7.40
2021-08-01,6.50,6.68
2021-07-01,6.50,6.50
2021-06-01,5.50,6.50
2021-05-01,5.00,6.00
2021-04-01,5.00,5.50
2021-03-01,4.50,5.80
2021-02-01,4.25,5.70
2021-01-01,4.25,5.20
2020-12-01,4.25,4.90
2020-11-01,4.25,4.40
2020-10-01,4.25,4.00
2020-09-01,4.25,3.70
2020-08-01,4.25,3.60
2020-07-01,4.25,3.40
2020-06-01,4.50,3.20
2020-05-01,5.50,3.00
2020-04-01,5.50,3.10
2020-03-01,6.00,2.50
2020-02-01,6.00,2.30
2020-01-01,6.25,2.40
2019-12-01,6.25,3.00
2019-11-01,6.50,3.50
2019-10-01,6.50,3.80
2019-09-01,7.00,4.00
2019-08-01,7.25,4.30
2019-07-01,7.25,4.60
2019-06-01,7.50,4.70
2019-05-01,7.75,5.10
2019-04-01,7.75,5.20
2019-03-01,7.75,5.30
2019-02-01,7.75,5.20
2019-01-01,7.75,5.00
2018-12-01,7.75,4.30
2018-11-01,7.50,3.80
2018-10-01,7.50,3.50
2018-09-01,7.50,3.40
2018-08-01,7.25,3.10
2018-07-01,7.25,2.50
2018-06-01,7.25,2.30
2018-05-01,7.25,2.40
2018-04-01,7.25,2.40
2018-03-01,7.25,2.40
2018-02-01,7.50,2.20
2018-01-01,7.75,2.20
2017-12-01,7.75,2.50
2017-11-01,8.25,2.50
2017-10-01,8.25,2.70
2017-09-01,8.50,3.00
2017-08-01,9.00,3.30
2017-07-01,9.00,3.90
2017-06-01,9.00,4.40
2017-05-01,9.25,4.10
2017-04-01,9.75,4.10
2017-03-01,9.75,4.30
2017-02-01,10.00,4.60
2017-01-01,10.00,5.00
2016-12-01,10.00,5.40
2016-11-01,10.00,5.80
2016-10-01,10.00,6.10
2016-09-01,10.00,6.40
2016-08-01,10.50,6.90
2016-07-01,10.50,7.20
2016-06-01,10.50,7.50
2016-05-01,11.00,7.30
2016-04-01,11.00,7.30
2016-03-01,11.00,7.30
2016-02-01,11.00,8.10
2016-01-01,11.00,9.80
2015-12-01,11.00,12.90
2015-11-01,11.00,15.00
2015-10-01,11.00,15.60
2015-09-01,11.00,15.70
2015-08-01,11.00,15.80
2015-07-01,11.50,15.60
2015-06-01,11.50,15.30
2015-05-01,12.50,15.80
2015-04-01,14.00,16.40
2015-03-01,14.00,16.90
2015-02-01,15.00,16.70
2015-01-01,17.00,14.96
2014-12-01,17.00,11.35
2014-11-01,9.50,9.06
2014-10-01,8.00,8.29
2014-09-01,8.00,8.03
2014-08-01,8.00,7.55
2014-07-01,8.00,7.45
2014-06-01,7.50,7.81
2014-05-01,7.50,7.59
2014-04-01,7.50,7.33
2014-03-01,7.00,6.92
2014-02-01,5.50,6.21
2014-01-01,5.50,6.07
2013-12-01,5.50,6.47
2013-11-01,5.50,6.50
2013-10-01,5.50,6.27
2013-09-01,5.50,6.14
